user_country,room_view,stay_type,original_lang,Month,rating,review_post_date,stay_duration_days,combined_name
Czech Republic,Large Studio with Kitchenette,Solo traveller,en,2024-12,8.0,2024-12-29,2,Numa Fore - my4walls-serviced-apartments-hamburg
United Kingdom,Large Studio with Kitchenette and Sofa Bed,Family,en,2024-12,8.0,2024-12-25,1,Numa Fore - my4walls-serviced-apartments-hamburg
United States,Large Studio with Kitchenette,Solo traveller,en-us,2024-12,9.0,2024-12-19,4,Numa Fore - my4walls-serviced-apartments-hamburg
Slovenia,Large Studio with Kitchenette,Group,en,2024-12,9.0,2024-12-18,3,Numa Fore - my4walls-serviced-apartments-hamburg
India,Extra Large Studio with Kitchenette and Sofa Bed - Accessible,Family,en,2024-12,9.0,2024-12-04,2,Numa Fore - my4walls-serviced-apartments-hamburg
Latvia,Large Studio with Kitchenette,Couple,en,2024-11,9.0,2024-11-28,2,Numa Fore - my4walls-serviced-apartments-hamburg
Germany,Large Studio with Kitchenette,Solo traveller,en-us,2024-11,8.0,2024-11-23,4,Numa Fore - my4walls-serviced-apartments-hamburg
Germany,Extra Large Studio with Kitchenette and Sofa Bed,Family,en,2024-10,8.0,2024-10-20,7,Numa Fore - my4walls-serviced-apartments-hamburg
Germany,Large Studio with Kitchenette,Couple,en,2024-10,9.0,2024-10-18,3,Numa Fore - my4walls-serviced-apartments-hamburg
United Kingdom,Large Studio with Kitchenette,Solo traveller,en,2024-10,9.0,2024-10-01,4,Numa Fore - my4walls-serviced-apartments-hamburg
United Arab Emirates,Extra Large Studio with Kitchenette and Sofa Bed - Accessible,Family,en-us,2024-09,8.0,2024-09-26,1,Numa Fore - my4walls-serviced-apartments-hamburg
Slovakia,Large Studio with Kitchenette,Couple,en,2024-09,9.0,2024-09-20,4,Numa Fore - my4walls-serviced-apartments-hamburg
United Kingdom,Large Studio with Kitchenette,Solo traveller,en,2024-09,9.0,2024-09-15,4,Numa Fore - my4walls-serviced-apartments-hamburg
Netherlands,Large Studio with Kitchenette and Sofa Bed,Solo traveller,en-us,2024-09,8.0,2024-09-10,2,Numa Fore - my4walls-serviced-apartments-hamburg
Lithuania,Large Studio with Kitchenette and Sofa Bed,Couple,en,2024-09,8.0,2024-09-09,1,Numa Fore - my4walls-serviced-apartments-hamburg
Netherlands,Large Studio with Kitchenette,Couple,en,2024-09,8.0,2024-09-05,3,Numa Fore - my4walls-serviced-apartments-hamburg
Portugal,Large Studio with Kitchenette - Single Bed,Solo traveller,en,2024-08,9.0,2024-08-24,14,Numa Fore - my4walls-serviced-apartments-hamburg
Germany,Large Studio with Kitchenette and Sofa Bed,Family,en,2024-08,9.0,2024-08-20,2,Numa Fore - my4walls-serviced-apartments-hamburg
France,Extra Large Studio with Kitchenette and Sofa Bed - Accessible,Family,en,2024-08,9.0,2024-08-20,6,Numa Fore - my4walls-serviced-apartments-hamburg
Germany,Large Studio with Kitchenette and Sofa Bed,Family,en,2024-08,7.0,2024-08-17,3,Numa Fore - my4walls-serviced-apartments-hamburg
Indonesia,Large Studio with Kitchenette,Group,en,2024-08,8.0,2024-08-11,5,Numa Fore - my4walls-serviced-apartments-hamburg
Czech Republic,Extra Large Studio with Kitchenette and Sofa Bed,Family,en,2024-08,9.0,2024-08-05,3,Numa Fore - my4walls-serviced-apartments-hamburg
India,Large Studio with Kitchenette and Sofa Bed,Family,en,2024-08,8.0,2024-08-04,2,Numa Fore - my4walls-serviced-apartments-hamburg
Germany,Extra Large Studio with Kitchenette and Sofa Bed - Accessible,Family,en,2024-08,8.0,2024-08-03,3,Numa Fore - my4walls-serviced-apartments-hamburg
Germany,Large Studio with Kitchenette,Family,en-us,2024-07,7.0,2024-07-29,1,Numa Fore - my4walls-serviced-apartments-hamburg
Slovenia,Extra Large Studio with Kitchenette and Sofa Bed,Family,en,2024-07,7.0,2024-07-24,2,Numa Fore - my4walls-serviced-apartments-hamburg
Czech Republic,Extra Large Studio with Kitchenette and Sofa Bed - Accessible,Family,en,2024-07,9.0,2024-07-21,2,Numa Fore - my4walls-serviced-apartments-hamburg
Finland,Large Studio with Kitchenette and Sofa Bed,Family,en,2024-07,9.0,2024-07-16,2,Numa Fore - my4walls-serviced-apartments-hamburg
Switzerland,Large Studio with Kitchenette and Sofa Bed,Family,en,2024-07,9.0,2024-07-15,6,Numa Fore - my4walls-serviced-apartments-hamburg
