Unnamed: 0,Hotel Name,Mean Rating,Median Rating,Variance Rating,Low-Score Proportion,Low-Score Trend Slope,Low-Score Trend Confidence,Variance Trend Slope,Variance Trend Confidence,Composite Risk Score,Overall Risk Label,Cluster,Rank
0,my4walls-serviced-apartments-hamburg,8.106482235427286,8.0,0.9142317377879756,0.1290559954702258,-0.0012062152593305,0.0997411572740828,-0.0210479942371012,0.0779528155721652,-2.9061414175749856,Low,0,35.0
1,antik-city-prague,8.766509433962264,9.0,1.5312724618149145,0.0581761006289308,0.0001578624749141,0.000620082141936,0.0009173657119345,6.720129820258163e-05,-3.0180106756597898,Low,1,25.0
2,friendly-rentals-mozart,9.045454545454543,9.0,2.0454545454545454,0.0909090909090909,0.010163749294184,0.0503105590062111,0.0079051383399209,0.0144927536231884,-2.9562676453980803,Low,0,29.0
3,yays-amsterdam-docklands,8.892745286033875,9.0,1.2939477489405582,0.0686800894854585,-0.0001150613700949,0.0007255264987507,0.0031319996890466,0.001066349755474,-3.1342835572937675,Low,1,17.0
4,numa-i-goya-apartments,8.367469879518072,9.0,2.2959072060600128,0.108433734939759,0.0013993255250969,0.0153443600462018,0.0165155395099562,0.0217648612456565,-2.602067503463331,Low,1,57.0
5,numa-l-saga-apartments,8.89387955182073,9.0,0.3989010723509215,0.0393930905695611,-4.4152613812056426e-05,0.000350703626048,-0.0015131914560349,0.0009626313212553,-3.418345103406601,Low,0,6.0
6,numa-i-novela-rooms-amp-apartments,8.661547868623341,9.0,1.153641636836927,0.0519916142557651,0.0001974862670169,0.0029794225773335,0.0145052050754224,0.0321678659568218,-3.09104083150943,Low,0,22.0
7,villa-ivy-by-heymcollections,8.095970695970696,9.0,4.069471238637906,0.1483516483516483,-0.001207729468599,0.009845000389948,-0.0024512926686839,0.0001395944324557,-1.9438577577816705,Moderate,2,84.0
8,sunrise,9.264367816091951,9.5,0.9131471086162346,0.0268199233716475,-0.000619669023839,0.0102848059555129,-0.006755607397147,0.0054026021029322,-3.41919252671057,Low,0,5.0
9,tophotelmozart,8.355787037037038,8.55,1.895665576707244,0.1099537037037036,-0.0008744607882538,0.0221824912005996,-0.005328751708062,0.002691993206758,-2.7193460572792474,Low,1,50.0
10,la-pepa-chic-bed,7.475077881619937,8.0,4.736925439369894,0.210436137071651,-0.0015845725817512,0.0197634393049141,-0.0332074492055095,0.0162524291640842,-1.4673731117380822,Moderate,2,94.0
11,sunrise-apartments,8.759333333333332,9.0,1.3288772401433695,0.0539999999999999,-0.0008325652841781,0.02601233254907,-0.0079216589861751,0.0077509900967247,-3.0790288402457757,Low,0,23.0
12,sevilla-luxury-rentals-catedral-sevilla,8.772619047619049,9.0,1.9899197722567283,0.0892857142857142,-0.0017977429796168,0.0205038911887319,-0.0011241361210742,3.090506052692346e-05,-2.8679007924357744,Low,1,37.0
13,sevilla-luxury-rentals-horno-santa-cruz,9.032967032967033,9.5,2.179148012481346,0.0531135531135531,-7.166746297181088e-05,8.947507953340417e-05,-0.000315867707172,1.675001338960185e-05,-2.9329315531489444,Low,1,32.0
