city,name,address,country,latitude,longitude,house_number,street,neighborhood,district,postcode,booking_page,airbnb_page,expedia_page,tripadvisor_page,hotels_page,image_url,reviews,processed_timestamp
Anif,Numa Ivy,"Anif, Hellbrunnerstraße 73",Austria,47.7591445,13.0606883,73,Hellbrunnerstraße,Anif,Salzburg-Umgebung,5081,https://www.booking.com/reviews/at/hotel/villa-ivy-by-heymcollections.html,,,https://www.tripadvisor.com/Hotel_Review-g190441-d23418815-Reviews-Numa_Ivy-Salzburg_Austrian_Alps.html,https://www.hotels.com/ho647195/villa-ivy-anif-austria/,https://serpapi.com/searches/67754feb5d4c636a820e2f4a/images/692b0f57ab585f4e950ed8a268887a519750dbc7648681215a9e9cbc06615f74.jpeg,"[{'score': 8.3, 'count': 1598, 'source': 'Booking.com', 'timestamp': '2025-01-01 16:21:37'}, {'score': 3.5, 'count': 21, 'source': 'Tripadvisor', 'timestamp': '2025-01-01 16:21:37'}, {'score': 8.4, 'count': 69, 'source': 'Hotels.com', 'timestamp': '2025-01-01 16:21:37'}, {'score': 8.2, 'count': 1629, 'source': 'Trivago', 'timestamp': '2025-01-01 16:21:37'}, {'score': 8.3, 'count': 1593, 'source': 'hotels-salzburg.org', 'timestamp': '2025-01-01 16:21:37'}]",2025-01-01 16:21:37
Salzburg,Numa Maximilian,"Maxglan, Bayernstraße 28",Austria,47.8004524,13.0252087,28,Bayernstraße,Neu-Maxglan,Salzburg,5020,https://www.booking.com/hotel/at/the-maximilian-by-heymcollections.html,,https://www.expedia.com/Salzburg-Hotels-The-Maximilian-Hotel-By-HeymCollections.h58009723.Hotel-Information,https://www.tripadvisor.com/Hotel_Review-g190441-d21199340-Reviews-Numa_I_Maximilian-Salzburg_Austrian_Alps.html,,https://serpapi.com/searches/67754fedb761f4621fdcf48b/images/6df9f1cfde62343cf8dc4cb874f4cd07c5c520b7f2af8c1eba3e530c9e4073cf.jpeg,"[{'score': 4.0, 'count': 26, 'source': 'Tripadvisor', 'timestamp': '2025-01-01 16:21:40'}, {'score': 8.4, 'count': 1555, 'source': 'Booking.com', 'timestamp': '2025-01-01 16:21:40'}, {'score': 8.8, 'count': 45, 'source': 'Expedia.com', 'timestamp': '2025-01-01 16:21:40'}, {'score': 8, 'count': 8, 'source': 'Agoda.com', 'timestamp': '2025-01-01 16:21:40'}, {'score': 8.5, 'count': 1558, 'source': 'salzburghotelinfo.com', 'timestamp': '2025-01-01 16:21:40'}, {'score': 4.2, 'count': 40, 'source': 'Trip.com Official Site\u200e\u200e | Travel Deals and Promotions', 'timestamp': '2025-01-01 16:21:40'}]",2025-01-01 16:21:40
Salzburg,Numa Mozart,"Neustadt, Franz-Josef-Straße 27",Austria,47.8067819,13.048194,27,Franz-Josef-Straße,Franz-Josef-Straße,Salzburg,5020,https://www.booking.com/hotel/at/tophotelmozart.html,,https://www.expedia.com/Salzburg-Hotels-The-Mozart.h13571.Hotel-Information,https://www.tripadvisor.com/Hotel_Review-g190441-d228045-Reviews-Numa_Mozart-Salzburg_Austrian_Alps.html,,https://serpapi.com/searches/67754fef2da508e21428a646/images/cc5c5e11db2aa0442c0aeda2d443c5c8254b3ed97ea44547e1f20dbc4727699e.jpeg,"[{'score': 3.5, 'count': 99, 'source': 'Tripadvisor', 'timestamp': '2025-01-01 16:21:42'}, {'score': 8.6, 'count': 3092, 'source': 'Booking.com', 'timestamp': '2025-01-01 16:21:42'}, {'score': 8.6, 'count': 5852, 'source': 'Trivago', 'timestamp': '2025-01-01 16:21:42'}, {'score': 8.6, 'count': 3371, 'source': 'Kayak', 'timestamp': '2025-01-01 16:21:42'}, {'score': 8.6, 'count': 3371, 'source': 'HotelsCombined', 'timestamp': '2025-01-01 16:21:42'}, {'score': 8.8, 'count': 209, 'source': 'Expedia.com', 'timestamp': '2025-01-01 16:21:42'}]",2025-01-01 16:21:42
Salzburg,Numa Vogelweider,"Schallmoos, Vogelweiderstraße 33",Austria,47.8112012,13.0592866,13,Robinigstraße,Vogelweiderstraße,Salzburg,5020,https://www.booking.com/hotel/at/numa-salzburg-vogelweider.de.html,,,,https://www.hotels.com/ho3392629568/numa-salzburg-vogelweider/,https://serpapi.com/searches/67754ff175d3d05814fadf0c/images/5ec38cf5b6e10e27d5f409550a24b599.jpeg,"[{'score': 8.8, 'count': 805, 'source': 'Booking.com', 'timestamp': '2025-01-01 16:21:44'}, {'score': 9.6, 'count': 58, 'source': 'Hotels.com', 'timestamp': '2025-01-01 16:21:44'}, {'score': 4.0, 'count': 7, 'source': 'Tripadvisor', 'timestamp': '2025-01-01 16:21:44'}, {'score': 8.8, 'count': 805, 'source': 'salzburghotelinfo.com', 'timestamp': '2025-01-01 16:21:44'}, {'score': 8.8, 'count': 748, 'source': 'saalbachhinterglemmhotels.com', 'timestamp': '2025-01-01 16:21:44'}]",2025-01-01 16:21:44
Salzburg,Numa Flute,"Maxglan, Eniglstraße 7",Austria,47.7984796,13.0252419,7,Eniglstraße,Neu-Maxglan,Salzburg,5020,https://www.booking.com/hotel/at/villa-riedenburg-boutique-apartments.html,https://www.airbnb.com/rooms/51973785,https://www.expedia.com/Salzburg-Hotels-Flute-By-HeymCollections.h70984925.Hotel-Information,https://www.tripadvisor.com/Hotel_Review-g190441-d23636736-Reviews-Numa_I_Flute_Apartments-Salzburg_Austrian_Alps.html,https://www.hotels.com/ho2272517600/numa-i-flute-apartments-salzburg-austria/,https://serpapi.com/searches/67754ff2d144317c78127a92/images/a57f9628e613edbe8650f485e940d4d8.jpeg,"[{'score': 8.6, 'count': 507, 'source': 'Booking.com', 'timestamp': '2025-01-01 16:21:46'}, {'score': 8.8, 'count': 6, 'source': 'Expedia.com', 'timestamp': '2025-01-01 16:21:46'}, {'score': 8.7, 'count': 508, 'source': 'Agoda.com', 'timestamp': '2025-01-01 16:21:46'}, {'score': 8.8, 'count': 6, 'source': 'Hotels.com', 'timestamp': '2025-01-01 16:21:46'}, {'score': 3.5, 'count': 4, 'source': 'Tripadvisor', 'timestamp': '2025-01-01 16:21:46'}]",2025-01-01 16:21:46
Salzburg,Numa Sonate,"Neustadt, Schwarzstr. 12/Ledergasse 2",Austria,47.8021107,13.044061,2,Lederergasse,,Salzburg,5020,https://www.booking.com/hotel/at/townhouse-tessa-by-heymcollections.html,,https://www.expedia.com/Hotel-Search?selected=70893371&locale=en_US&HotelID=70893371&siteid=1,https://www.tripadvisor.com/Hotel_Review-g190441-d15553463-Reviews-Numa_Sonate_Apartments-Salzburg_Austrian_Alps.html,https://www.hotels.com/ho2269587872/numa-i-sonate-apartments-salzburg-austria/,https://serpapi.com/searches/6775527953679702fe92c5ab/images/e7b4ad5a1c005f20e8d09cdfc54a2a13.jpeg,"[{'score': 3.5, 'count': 6, 'source': 'Tripadvisor', 'timestamp': '2025-01-01 16:21:49'}, {'score': 7.8, 'count': 312, 'source': 'Booking.com', 'timestamp': '2025-01-01 16:21:49'}, {'score': 7.6, 'count': 10, 'source': 'Hotels.com', 'timestamp': '2025-01-01 16:21:49'}]",2025-01-01 16:21:49
Salzburg,Numa Nora,"Neustadt, Schallmoser Hauptstraße 17 A",Austria,47.80586659999999,13.0524838,17,Schallmooser Hauptstraße,,Salzburg,5020,https://www.booking.com/hotel/at/townhouse-nora-salzburg.de.html,https://www.airbnb.com/rooms/52377407,https://www.expedia.com/Salzburg-Hotels-Townhouse-Nora-By-HeymCollections.h70984412.Hotel-Information,,https://www.hotels.com/ho2272501184/numa-i-nora-apartments-salzburg-austria/,https://serpapi.com/searches/6775527be6dd217b202050fe/images/78e8c6eb55ce4de6d2715adf93b889a32b8fdf37e413ae5c9b441c1083ed071a.jpeg,"[{'score': 8.4, 'count': 449, 'source': 'Booking.com', 'timestamp': '2025-01-01 16:21:51'}, {'score': 9, 'count': 550, 'source': 'Trivago', 'timestamp': '2025-01-01 16:21:51'}, {'score': 9, 'count': 554, 'source': 'trivago', 'timestamp': '2025-01-01 16:21:51'}, {'score': 9.4, 'count': 1000, 'source': 'Travelocity.com', 'timestamp': '2025-01-01 16:21:51'}]",2025-01-01 16:21:51
Wien,Numa Wood,"Rudolfsheim-Fünfhaus, Mariahilfer Gürtel 33",Austria,48.1945801,16.3388668,33,Mariahilfer Gürtel,Neu-Fünfhaus,Wien,1150,https://www.booking.com/hotel/at/the-wood.de.html,,https://www.expedia.com/Vienna-Hotels-The-Wood.h48246145.Hotel-Information,,https://www.hotels.com/ho1544876640/numa-wood-rooms-apartments-vienna-austria/,https://serpapi.com/searches/6775527e5b1940e0ac885f4e/images/a5b272feb0bba6173f8e11e7e82ba2c7ece4aeded181ff7d3493ef30383ecdd8.jpeg,"[{'score': 8.6, 'count': 3074, 'source': 'Booking.com', 'timestamp': '2025-01-01 16:21:53'}, {'score': 9, 'count': 85, 'source': 'Expedia.com', 'timestamp': '2025-01-01 16:21:53'}, {'score': 8.7, 'count': 42, 'source': 'Agoda.com', 'timestamp': '2025-01-01 16:21:53'}, {'score': 9, 'count': 85, 'source': 'Hotels.com', 'timestamp': '2025-01-01 16:21:53'}, {'score': 4.5, 'count': 70, 'source': 'Tripadvisor', 'timestamp': '2025-01-01 16:21:53'}, {'score': 8.8, 'count': 73, 'source': 'Only-apartments.com', 'timestamp': '2025-01-01 16:21:53'}]",2025-01-01 16:21:53
Wien,Numa Strauss,"Rudolfsheim-Fünfhaus, Stiegergasse 3",Austria,48.18573480000001,16.3345767,3,Stiegergasse,Neu-Gaudenzdorf,Wien,1150,https://www.booking.com/hotel/at/sunrise-apartments.de.html,,https://www.expedia.com/Vienna-Hotels-Sunrise-Apartments.h34989964.Hotel-Information,,https://www.hotels.com/ho1120678848/numa-strauss-rooms-apartments-vienna-austria/,https://serpapi.com/searches/67755281466335196f436b36/images/54c53f7c750bebd0dd06821b91981244509938079e9d35706afa24e4f1db8340.jpeg,"[{'score': 8.8, 'count': 1709, 'source': 'Booking.com', 'timestamp': '2025-01-01 16:21:55'}, {'score': 8.8, 'count': 60, 'source': 'Hotels.com', 'timestamp': '2025-01-01 16:21:55'}, {'score': 8.8, 'count': 58, 'source': 'Expedia.com', 'timestamp': '2025-01-01 16:21:55'}, {'score': 4.0, 'count': 20, 'source': 'Tripadvisor', 'timestamp': '2025-01-01 16:21:55'}, {'score': 8.8, 'count': 1340, 'source': 'Kayak', 'timestamp': '2025-01-01 16:21:55'}]",2025-01-01 16:21:55
Wien,Numa Terra,"Mariahilf, Gumpendorfer Straße 60",Austria,48.1961215,16.3514093,60,Gumpendorfer Straße,Magdalenengrund,Wien,1060,https://www.booking.com/reviews/at/hotel/numa-i-terra-apartments.html,,https://www.expedia.com/Vienna-Hotels-Numa-I-Terra-Apartments.h99040983.Hotel-Information,https://www.tripadvisor.com/Hotel_Review-g190454-d26856641-Reviews-Numa_I_Terra_Apartments-Vienna.html,,https://serpapi.com/searches/677552a2bb5bfc6f312a0e99/images/cd7edefa53bd3b6fabfb4be27c44ee93.jpeg,"[{'score': 4.5, 'count': 7, 'source': 'Tripadvisor', 'timestamp': '2025-01-01 16:21:57'}, {'score': 9.4, 'count': 31, 'source': 'Expedia.com', 'timestamp': '2025-01-01 16:21:57'}, {'score': 9.3, 'count': 1361, 'source': 'Booking.com', 'timestamp': '2025-01-01 16:21:57'}]",2025-01-01 16:21:57
