Hotel Name,Mean Rating,Mean Rating Label,Median Rating,Variance Rating,Variance Rating Label,Low-Score Proportion,Low-Score Proportion Label,Low-Score Trend Slope,Low-Score Trend Confidence,Variance Trend Slope,Variance Trend Confidence,Composite Risk Score,Overall Risk Label,Low-Score Trend Slope Label,Low-Score Trend Confidence Label,Composite Risk Score Label
eastern-park-apartment-suites,7.538461538461538,Low,8.0,4.331825037707391,High,0.25,High,-0.0043114488175531466,0.023538180030965833,0.008324084350721418,0.0034786603740650825,-1.5908669854008366,Moderate,Low,High,High
alvarez-quintero-apartment,8.368589743589743,Medium,9.0,3.411041980894922,High,0.10576923076923077,Medium,-0.0005335951506872703,0.0007143910359355827,-0.011305102592560972,0.02264583425096676,-2.2724759170721986,Low,Low,Low,High
retrome-barcelona,8.212765957446809,Medium,8.5,3.1820074005550416,High,0.07446808510638298,Medium,0.003122109158186863,0.028198978802413732,-0.013008788159111932,0.004586056431730128,-2.2939465772432936,Low,Low,High,High
star-gmbh,7.690476190476192,Low,8.0,4.469907407407407,High,0.22448979591836735,High,0.003401360544217687,0.016000000000000004,0.006649659863945578,0.0008955618196047556,-1.621628117913833,Moderate,Low,Medium,High
capriceroma,8.131398809523809,Low,8.45,2.8961370676879667,Medium,0.17116815476190475,High,-0.0016697949093572606,0.03843081202537547,-0.011088475859122265,0.004105248542992538,-2.299577132689965,Low,Low,High,High
palazzo-del-moro-firenze,8.475409836065573,Medium,9.0,4.870218579234974,High,0.12021857923497267,Medium,-0.003331570597567424,0.036632977986986004,-0.007852987837123215,0.024073194694612738,-1.870440683941477,Moderate,Low,High,High
star-apart-hauptbahnhof,7.190740740740741,Low,7.416666666666666,4.290398191618849,High,0.32916666666666666,High,-0.001369327073552426,0.004710955921309413,-0.00971391514995605,0.0010946721756604609,-1.4258387624070143,Moderate,Low,Medium,High
numa-i-portico-rooms,8.057162534435262,Low,8.0,2.755906603917968,Medium,0.15977961432506882,High,0.0010889445874542744,0.016146116010192474,0.006223185656866728,0.001967435539728182,-2.315363117953003,Low,Low,Medium,High
rodo-hotel-fashion-delight,8.082644628099173,Low,9.0,4.444038873584328,High,0.1721763085399449,High,-0.0006808020593415526,0.005007731768506391,-0.014092489725872731,0.009735627351973952,-1.815303444278854,Moderate,Low,Medium,High
belfort-berlin,8.23224043715847,Medium,8.5,4.190998785670916,High,0.11475409836065574,Medium,0.00021152829190904283,0.0001365420720259431,0.0024766437511017088,0.0053138253270289555,-1.9779295199482936,Moderate,Low,Low,High
