stay_type,room_type,combined_name,risk_score,avg_rating,review_count
Couple,1 Bedroom Apartment,Numa Docklands - yays-amsterdam-docklands,0.4714285714285714,8.928571428571429,14
Couple,1 Bedroom Apartment,Numa Fiore - le-fiorentine-boutique-apartments,0.08000000000000002,9.2,10
Couple,1 Bedroom Apartment,Numa Sol - numa-madrid-sol-apartments,0.05714285714285714,9.428571428571429,7
Couple,1 Bedroom Apartment,Numa Strauss - sunrise-apartments,0.9963636363636362,8.727272727272727,11
Couple,1 Bedroom Apartment,Numa Topp - frogner-house-apartments-skovveien-15,0.1507456937002392,9.25,12
Couple,1 Bedroom Apartment,Numa YAYS Paris Issy by Numa - yays-paris-issy,0.2,9.0,5
Couple,1 Bedroom Apartment,Numa YAYS Paris Zola by Numa - eiffel-village-apartments-paris-centre,0.30948744830037755,7.5,2
Couple,1 Bedroom Apartment - Duplex,Numa YAYS Paris Issy by Numa - yays-paris-issy,0.3,9.0,4
Couple,1 Bedroom Apartment with Balcony and Sofa Bed,Numa Leo - numa-i-leo-apartments,,9.0,1
Couple,1 Bedroom Apartment with Balcony and Sofa Bed,Numa Loreto - loreto-rooms-amp-apartments,0.17222222222222225,9.11111111111111,9
Couple,1 Bedroom Apartment with Balcony and Sofa Bed,Numa Topp - frogner-house-apartments-skovveien-15,0.46666666666666673,8.666666666666666,3
Couple,1 Bedroom Apartment with Balcony and Sofa Bed,Numa Torstraße - alte-schonhauser-str-2-10119-berlin,0.08566168943159772,8.4,5
Couple,1 Bedroom Apartment with Balcony and Sofa bed,Numa Sempione - numa-milan-sempione,3.255091404170161,7.75,4
Couple,1 Bedroom Apartment with Sofa Bed,Numa Arc - numa-i-arc-rooms-amp-apartments,0.1,9.5,2
Couple,1 Bedroom Apartment with Sofa Bed,Numa Docklands - yays-amsterdam-docklands,,10.0,1
Couple,1 Bedroom Apartment with Sofa Bed,Numa Felice - numa-i-felice-rooms-amp-apartments,0.5521428571428572,9.0,6
